"","lyftdf1","id"
"128","#NYC #Broadway #musical #timessquare LOVE NY free with #Lyft - Use code ZOOT https://t.co/TYOS0IyTER #newyork #timeout #lyft #Lyft #nj","128"
"129","Heading to Indian Malin Jonesboro? Go free w/ 10 Free Lyft rides TEN Free Rides w/ Lyft Code COAX #shopping #store #mall #Lyft","129"
"130","Walking around Sacramento and need a taxi? Get 10 free rides w/ Lyft Promo Code:  OATH #limo #cab #Lyft #uber","130"
"131","We grew up being told not to get in to cars with strangers, now we have an app and we pay the strangers. #Uber #Lyft","131"
"132","RT @WhosDrivingYou: A new lawsuit alleges that a #Lyft driver pulled a gun on two men and ordered them out of the car #WhosDrivingYou https‚Ä¶","132"
"133","Lyft‚Äôs self-driving pilot with nuTonomy begins rolling out in Boston #selfdrivingcars #nuTonomy #cities #boston‚Ä¶ https://t.co/Ag8LQjaXnl","133"
"134","Headin' to Falcon Stadium ? Go for free w/ Lyft! $50 Lyft ride credit, Use Code PIX #stadium #sports #uber #Lyft","134"
"135","VIDEO | Lyft expanding to Toronto market
https://t.co/JC33RC9EBN

#Lyft #Uber #Toronto","135"
"136","When your Lyft driver plays NPR like a boss. #NPR #Lyft¬† #Ì†ΩÌπåÌ†ºÌøº #LA","136"
"137","Calling all Independence Bowl fans! Lyft gives you 10 free taxi rides! Get Lyft app &amp; use code DUSK #football #college #uber #Lyft","137"
"138","denver #uber vs #lyft https://t.co/luEXoosaTS #rideshare","138"
"139","If you want to take a #FREE ride or food with #Uber Ì†ΩÌ∫ò or #LyftÌ†ºÌæà

I HAVE #PROMO #CODES FOR YOU

#UberEATSÌ†ºÌΩΩ: UE-SARAH‚Ä¶ https://t.co/UfXq59drUS","139"
"140","Going to Rangers Ballpark in Arlington ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/yygnkAaZue  #uber #Lyft","140"
"141","Want a free ride to California Memorial Stadium ? Go free w/ Lyft - $50 Lyft credit for new users w/ Promo CODE DUSK #freeLyft #Lyft","141"
"142","Going to FirstEnergy Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/CmDXUPrKIx  #uber #Lyft","142"
"143","Before surge hits, the drivers in my area stop taking passengers. #lyft #sucksdick","143"
"144","Want a free ride to Rose Bowl ? Go w/ Lyft - $50 Lyft credit for new users w/ Promo CODE CLEO #freeLyft #Lyft #stadium #uber","144"
"145","Want a free ride to Cotton Bowl ? Go w/ Lyft - $50 Lyft credit for new users w/ Promo CODE CLEO #freeLyft #Lyft #stadium #uber","145"
"146","RT @Free_Ride_Codes: #Lyft ride-hailing app arrives in Toronto, marking its first expansion outside US https://t.co/BmjEHjAw0b #freerides #‚Ä¶","146"
"147","Walking around Washington, D.C. and need a taxi? Get 10 free rides w/ Lyft Promo Code:  OATH #limo #cab #Lyft #uber","147"
"148","Going to Detroit Electronic festivities in Detroit, Michigan? Go totally free with $50 Lyft credit Get Lyft &amp; Use Code NUMB #uber #Lyft","148"
"149","Going to Ralph Wilson Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/AVSAqJwsT4  #uber #Lyft","149"
"150","Want a free ride to Vanderbilt Stadium ? Go free w/ Lyft - $50 Lyft credit for new users w/ Promo CODE DUSK #freeLyft #Lyft #stadium #uber","150"
